DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UIC,0,1.44,2.44,1.28,6.91,6.93,6.9,42.28,42.36,42.21,15221.57,2489,518.08,360,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.26,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UMC,1,3.79,15.52,2.17,1.01,1.01,1.01,20.12,20.19,20.07,7242.58,363.34,1364.28,360,0,0,0,0,0,0,0,0,0,0,0,0,2.71,2.75,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,0,3.83,6.87,3.29,2.36,2.36,2.35,55.88,55.89,55.86,20116.27,848.26,1377.43,360,0,0,0,0,0,0,0,0,0,0,0,0,423.35,432.49,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,1,4.03,11.63,3.54,2.36,2.36,2.35,55.87,55.89,55.86,20114.52,848.58,1450.73,360,0,0,0,0,0,0,0,0,0,0,0,0,699.27,743.12,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UIC,0,1.45,2.22,1.3,6.87,6.89,6.86,42.38,42.44,42.31,15254.43,2473.29,521.83,360,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.2,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UMC,1,3.65,13.68,2.29,1.72,1.72,1.72,20.23,20.28,20.2,7283.48,618.85,1312.03,360,0,0,0,0,0,0,0,0,0,0,0,0,2.82,2.7,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,0,3.92,6.72,3.39,2.4,2.41,2.4,55.62,55.63,55.61,20024.08,864.99,1409.9,360,0,0,0,0,0,0,0,0,0,0,0,0,511.19,513.52,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,1,3.78,6.6,3.29,2.34,2.35,2.34,55.6,55.61,55.59,20015.91,844.03,1362.11,360,0,0,0,0,0,0,0,0,0,0,0,0,1146.3,1156.76,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UIC,0,1.9,2.84,1.26,6.69,6.71,6.68,41.77,41.85,41.71,15038.19,2410.29,684.38,360,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.15,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UMC,1,3.42,10.49,2.39,0.79,0.8,0.79,19.41,19.46,19.38,6988.73,285.82,1229.06,360,0,0,0,0,0,0,0,0,0,0,0,0,2.95,2.65,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,0,3.28,5.62,2.78,2.3,2.31,2.3,53.03,53.08,53.03,19092.84,829.42,1180.38,360,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.26,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,1,3.28,5.54,2.83,2.3,2.31,2.3,52.95,52.96,52.94,19060.94,829.07,1180.73,360,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.29,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,0,1.4,2.21,1.22,7.05,7.06,7.03,41.81,41.9,41.73,15051.13,2537.21,504.82,360,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.18,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,1,7.32,8.09,5.04,7.06,7.07,7.04,41.95,42.02,41.88,15101.44,2541.18,2633.2,360,0,0,0,0,0,0,0,0,0,0,0,0,6.7,7.3,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UMC,1,4.98,32.36,2.34,2.7,3.4,2.01,21.75,23.91,19.68,15657.41,1942.81,3584.55,720,0,0,0,0,0,0,0,0,0,0,0,0,35.69,20.83,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,0,6.16,14.44,2.94,2.36,2.4,2.32,54.58,56.55,52.61,39298.08,1699.1,4434.02,720,0,0,0,0,0,0,0,0,0,0,0,0,4554.57,4564.68,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,1,6.11,15.45,2.88,2.33,2.34,2.33,54.6,56.56,52.64,39311.37,1682.72,4399.11,720,0,0,0,0,0,0,0,0,0,0,0,0,5004.3,5016.44,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,2,6.31,12.69,2.94,2.37,2.39,2.33,54.61,56.57,52.64,39317.36,1701.64,4542.33,720,0,0,0,0,0,0,0,0,0,0,0,0,4843.27,4839.45,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,3,6.44,12.23,3.04,2.33,2.34,2.33,54.59,56.55,52.64,39309.49,1680.69,4638.41,720,0,0,0,0,0,0,0,0,0,0,0,0,5123.06,5166.95,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,4,6.27,16.61,2.73,2.33,2.34,2.33,54.6,56.55,52.65,39309.31,1680.41,4515.98,720,0,0,0,0,0,0,0,0,0,0,0,0,4731.2,4746.45,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,UIC,1,2.84,4.34,1.32,7,7.08,6.92,42.06,42.4,41.73,30284.9,5037.56,2047.43,720,0,0,0,0,0,0,0,0,0,0,0,0,2.58,2.77,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,UMC,1,3.52,23.95,2.19,2.62,3.14,2.09,20.57,21.29,19.89,14805.65,1884.12,2537.35,720,0,0,0,0,0,0,0,0,0,0,0,0,13.4,12.49,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,UPC,0,5.16,12.01,2.79,2.37,2.4,2.33,54.57,56.46,52.68,39290.29,1703.92,3717.11,720,0,0,0,0,0,0,0,0,0,0,0,0,3484.56,3484.41,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,UPC,1,5.1,11.33,2.84,2.36,2.38,2.33,54.55,56.42,52.68,39273.57,1696.91,3671.98,720,0,0,0,0,0,0,0,0,0,0,0,0,2929.92,2944.6,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,UPC,2,5.27,9.98,2.88,2.39,2.4,2.39,54.53,56.42,52.65,39264.81,1723.83,3793.18,720,0,0,0,0,0,0,0,0,0,0,0,0,3473.94,3496.51,0,0
